faminy,degreeV1,degreeV2
cc0,7,100
cc0-*,7,95
cc-by,6,80
cc-by-*,6,75
cc-by-sa,5,60
cc-by-sa-*,5,55
cc-by-nc,3,15
cc-by-nc-*,3,14
cc-by-nc-sa,2,13
cc-by-nc-sa-*,2,12
cc-by-nd,4,10
cc-by-nd-*,4,9
cc-by-nc-nd,1,8
cc-by-nc-nd-*,1,7
copyright-free,0,1
copyright-pay,0,0
