id_label,id_version,name,family,status,is_by,is_sa,is_generic,domain_content,domain_data,domain_software,od_conformance,osd_conformance,maintainer,title,url,url_original
geogratis,,geogratis,,active,,,,,1,,,not reviewed,,Geogratis,http://geogratis.gc.ca/geogratis/licenceGG,
gfdl-no-cover-texts-no-invariant-sections,1.3,GFDL-1.3-no-cover-texts-no-invariant-sections,cc-by,active,1,,,1,,,approved,not reviewed,Free Software Foundation,GNU Free Documentation License 1.3 with no cover texts and no invariant sections,http://www.opendefinition.org/licenses/gfdl,https://gnu.org/licenses/fdl.html
gpl,2.0,GPL-2.0,,active,,,,,,1,not reviewed,approved,Free Software Foundation,GNU General Public License 2.0,http://www.opensource.org/licenses/GPL-2.0,
gpl,3.0,GPL-3.0,,active,,,,,,1,not reviewed,approved,Free Software Foundation,GNU General Public License 3.0,http://www.opensource.org/licenses/GPL-3.0,
hesa-withrights,,hesa-withrights,,active,,,,1,,,approved,not reviewed,,Higher Education Statistics Agency Copyright with data.gov.uk rights,http://www.hesa.ac.uk/index.php?option=com_content&task=view&id=2619&Itemid=209,
hpnd,,HPND,,active,,,,,,1,not reviewed,approved,,Historical Permission Notice and Disclaimer,http://www.opensource.org/licenses/HPND,
inferred-lex-br,1.0,Inferred-lex-BR-1.0,cc0-*,restrict,,,,1,,,,,Brazil,"(inffering by legislation analysis, report BR)",,https://github.com/ppKrauss/openCoherence/blob/master/reports/inferredLicense-BR.md
inferred-lex-il,1.0,Inferred-lex-IL-1.0,,restrict,,,,1,,,,,Italy,"(inffering by legislation analysis, report IL)",,
inferred-lex-us,1.0,Inferred-lex-US-1.0,cc0,restrict,,,,1,,,,,United States of America,"(inffering by legislation analysis, report US)",,
intel,,Intel,,retired,,,,,,1,not reviewed,approved,Intel Corporation,Intel Open Source License,http://www.opensource.org/licenses/Intel,
ipa,,IPA,,active,,,,,,1,not reviewed,approved,,IPA Font License,http://www.opensource.org/licenses/IPA,
ipl,1.0,IPL-1.0,,active,,,,,,1,not reviewed,approved,IBM Corporation,IBM Public License 1.0,http://www.opensource.org/licenses/IPL-1.0,
isc,,ISC,,active,,,,,,1,not reviewed,approved,,ISC License,http://www.opensource.org/licenses/ISC,
lgpl,2.1,LGPL-2.1,,active,,,,,,1,not reviewed,approved,Free Software Foundation,GNU Lesser General Public License 2.1,http://www.opensource.org/licenses/LGPL-2.1,
lgpl,3.0,LGPL-3.0,,active,,,,,,1,not reviewed,approved,Free Software Foundation,GNU Lesser General Public License 3.0,http://www.opensource.org/licenses/LGPL-3.0,
localauth-withrights,,localauth-withrights,,active,,,,1,,,approved,not reviewed,,Local Authority Copyright with data.gov.uk rights,,
lpl,1.0,LPL-1.0,,retired,,,,,,1,not reviewed,approved,,"Lucent Public License (""Plan9"") 1.0",http://www.opensource.org/licenses/LPL-1.0,
lpl,1.02,LPL-1.02,,active,,,,,,1,not reviewed,approved,,Lucent Public License 1.02,http://www.opensource.org/licenses/LPL-1.02,
lpplc,1.3c,LPPL-1.3c,,active,,,,,,1,not reviewed,approved,,LaTeX Project Public License 1.3c,http://www.opensource.org/licenses/LPPL-1.3c,
met-office-cp,,met-office-cp,,active,,,,,,,not reviewed,not reviewed,,Met Office UK Climate Projections Licence Agreement,http://www.metoffice.gov.uk/climatechange/science/monitoring/ukcp09/UKCIP08_license_agreement_130709.pdf,
miros,,MirOS,,active,,,,1,,1,approved,approved,,MirOS Licence,http://www.opensource.org/licenses/MirOS,
mit,,MIT,,active,,,,,,1,not reviewed,approved,,MIT License,http://www.opensource.org/licenses/MIT,
mitre,,mitre,,active,,,,,,1,not reviewed,approved,,MITRE Collaborative Virtual Workspace License (CVW License),http://opensource.org/licenses/CVW,
motosoto,,Motosoto,,active,,,,,,1,not reviewed,approved,,Motosoto License,http://www.opensource.org/licenses/Motosoto,
mpl,1.0,MPL-1.0,,retired,,,,,,1,not reviewed,approved,Mozilla Foundation,Mozilla Public License 1.0,http://www.opensource.org/licenses/MPL-1.0,
mpl,1.1,MPL-1.1,,retired,,,,,,1,not reviewed,approved,Mozilla Foundation,Mozilla Public License 1.1,http://www.opensource.org/licenses/MPL-1.1,
mpl,2.0,MPL-2.0,,active,,,,,,1,not reviewed,approved,Mozilla Foundation,Mozilla Public License 2.0,http://www.opensource.org/licenses/MPL-2.0,
ms-pl,,MS-PL,,active,,,,,,1,not reviewed,approved,Microsoft Corporation,Microsoft Public License,http://www.opensource.org/licenses/MS-PL,
ms-rl,,MS-RL,,active,,,,,,1,not reviewed,approved,Microsoft Corporation,Microsoft Reciprocal License,http://www.opensource.org/licenses/MS-RL,
multics,,Multics,,active,,,,,,1,not reviewed,approved,,Multics License,http://www.opensource.org/licenses/Multics,
nasa,1.3,NASA-1.3,,active,,,,,,1,not reviewed,approved,,NASA Open Source Agreement 1.3,http://www.opensource.org/licenses/NASA-1.3,
naumen,,Naumen,,active,,,,,,1,not reviewed,approved,,Naumen Public License,http://www.opensource.org/licenses/Naumen,
